position,token,surprisal_bits,category
0,B,nan,boilerplate
1,le,8.751639366149902,boilerplate
2,eding,0.5446640849113464,clinical_entity
3, Comp,13.363508224487305,boilerplate
4,lication,2.1892879009246826,boilerplate
5, of,3.1026344299316406,boilerplate
6, Triple,11.976222038269043,clinical_entity
7, Therapy,1.6460310220718384,clinical_entity
8, of,6.102798938751221,boilerplate
9, Riv,10.828658103942871,boilerplate
10,ar,0.19510827958583832,boilerplate
11,ox,0.0004230152990203351,boilerplate
12,aban,0.0008749543339945376,clinical_entity
13,",",0.3364487886428833,boilerplate
14, Pr,8.569685935974121,boilerplate
15,as,8.168944623321295e-05,boilerplate
16,ug,0.00046307494631037116,numeric
17,rel,0.00017902282706927508,boilerplate
18,",",0.4553566873073578,boilerplate
19, and,0.006570232100784779,boilerplate
20, As,1.2164788246154785,boilerplate
21,pir,1.5478355635423213e-05,boilerplate
22,in,0.00010421771730761975,boilerplate
23,:,3.12492299079895,boilerplate
24, A,0.4215622842311859,boilerplate
25, Case,0.4516359865665436,boilerplate
26, Report,0.09303562343120575,boilerplate
27, and,1.9956152439117432,boilerplate
28, General,15.593971252441406,boilerplate
29, Discussion,5.7662672996521,boilerplate
30,"

",0.9114164710044861,boilerplate
31,D,7.312460899353027,boilerplate
32,ane,13.924092292785645,boilerplate
33, D,7.010475158691406,boilerplate
34,.,1.242807149887085,boilerplate
35, G,6.038926601409912,numeric
36,ru,6.199753761291504,boilerplate
37,ene,8.845730781555176,boilerplate
38,baum,4.8143839836120605,boilerplate
39,",",0.19147104024887085,boilerplate
40, Ahmad,15.348360061645508,boilerplate
41, Als,10.658976554870605,boilerplate
42,arah,12.68281364440918,boilerplate
43,",",0.1357022374868393,boilerplate
44, Osama,12.560358047485352,boilerplate
45, Als,6.435060501098633,boilerplate
46,ara,5.561988353729248,boilerplate
47,",",1.1631964445114136,boilerplate
48, and,4.7063679695129395,boilerplate
49, Heather,10.064233779907227,boilerplate
50, Lair,15.853408813476562,boilerplate
51,d,0.10972801595926285,boilerplate
52,-F,9.371726989746094,boilerplate
53,ick,4.842414379119873,boilerplate
54,"
",2.978670358657837,boilerplate
55,Department,1.8732404708862305,clinical_entity
56, of,0.0005175749538466334,boilerplate
57, Internal,1.8516340255737305,boilerplate
58, Medicine,0.0002675801806617528,boilerplate
59,",",0.0546736977994442,boilerplate
60, Michigan,7.856119155883789,boilerplate
61, State,0.04452836513519287,boilerplate
62, University,0.00013259254046715796,boilerplate
63,"
",7.751945972442627,boilerplate
64,Published,8.187409400939941,boilerplate
65, ,5.2388410568237305,boilerplate
66,1,2.6380748748779297,numeric
67,1,2.974992275238037,numeric
68, March,5.459305763244629,boilerplate
69, ,0.01290137879550457,boilerplate
70,2,0.0021505870390683413,numeric
71,0,1.3758605064140284e-06,numeric
72,1,1.5213336944580078,numeric
73,4,4.366749286651611,numeric
74,"

",1.076972246170044,boilerplate
75,1,7.184144020080566,numeric
76,.,0.07022054493427277,boilerplate
77, Introduction,0.30514341592788696,boilerplate
78,"

",1.9666093587875366,boilerplate
79,Several,9.202777862548828,boilerplate
80, options,8.13127326965332,boilerplate
81,",",9.265743255615234,boilerplate
82, with,6.586820602416992,boilerplate
83, well,10.869148254394531,boilerplate
84,-described,8.48352336883545,boilerplate
85, bleeding,5.559146404266357,clinical_entity
86, risks,1.1825294494628906,boilerplate
87,",",0.15168271958827972,boilerplate
88, exist,1.7452325820922852,boilerplate
89, for,0.11201532185077667,boilerplate
90, the,1.840370535850525,boilerplate
91, chem,15.347118377685547,boilerplate
92,op,0.042643629014492035,boilerplate
93,roph,0.11385516822338104,boilerplate
94,yl,0.0006917203427292407,boilerplate
95,axis,0.009800090454518795,boilerplate
96, of,0.11438208818435669,boilerplate
97, throm,4.785274028778076,clinical_entity
98,bot,3.8316283226013184,boilerplate
99,ic,1.0318955219190684e-06,boilerplate
100, complications,7.294931411743164,boilerplate
101, of,4.1646809577941895,boilerplate
102, either,11.483003616333008,boilerplate
103, atr,3.7539079189300537,boilerplate
104,ial,0.00014170673966873437,boilerplate
105, fibr,0.012598283588886261,clinical_entity
106,illation,1.0146940439881291e-05,clinical_entity
107, or,0.861224353313446,boilerplate
108, coronary,1.3795892000198364,clinical_entity
109, st,9.953170776367188,boilerplate
110,ents,0.49407708644866943,boilerplate
111, in,5.753596782684326,boilerplate
112, isolation,20.497417449951172,boilerplate
113,.,0.1681787371635437,boilerplate
114, However,1.0064786672592163,boilerplate
115,",",0.0006188328261487186,boilerplate
116, therapy,13.528441429138184,clinical_entity
117, is,4.8197479248046875,boilerplate
118, less,5.596949577331543,boilerplate
119, clear,0.8484137654304504,clinical_entity
120, when,0.7384012937545776,boilerplate
121, the,4.346885681152344,boilerplate
122, two,1.3454792499542236,boilerplate
123, conditions,1.5254861116409302,boilerplate
124, are,2.7552993297576904,boilerplate
125, com,4.855479717254639,boilerplate
126,or,0.00048284645890817046,boilerplate
127,bid,1.5822317436686717e-05,numeric
128,.,0.5344868302345276,boilerplate
129, The,2.650888442993164,boilerplate
130," """,9.36703109741211,boilerplate
131,gold,11.307308197021484,boilerplate
132, standard,0.05910462141036987,boilerplate
133,"""",0.010126658715307713,boilerplate
134, therapies,9.102252006530762,boilerplate
135, differ,9.405620574951172,boilerplate
136, for,2.5534417629241943,boilerplate
137, each,0.9150523543357849,boilerplate
138, and,9.596796989440918,boilerplate
139, provide,9.401853561401367,boilerplate
140, sub,7.6320672035217285,boilerplate
141,opt,0.030166497454047203,boilerplate
142,imal,3.267666670581093e-06,boilerplate
143, risk,4.468343734741211,clinical_entity
144, reduction,7.122424602508545,boilerplate
145, for,2.9344594478607178,boilerplate
146, the,0.3612055778503418,boilerplate
147, other,0.6269286274909973,boilerplate
148, condition,1.9499808549880981,boilerplate
149,.,0.38902559876441956,boilerplate
150, For,1.9630168676376343,boilerplate
151, example,0.4724891781806946,boilerplate
152,",",0.0005026177386753261,boilerplate
153, the,2.466768503189087,boilerplate
154, combination,3.8807151317596436,boilerplate
155, of,0.008136044256389141,boilerplate
156, aspir,1.8493281602859497,clinical_entity
157,in,1.7198263435602712e-07,boilerplate
158, and,0.39409732818603516,boilerplate
159, a,2.4823696613311768,boilerplate
160, th,9.566298484802246,boilerplate
161,ien,0.000667654094286263,boilerplate
162,opy,0.00024780569947324693,boilerplate
163,rid,0.001332250190898776,boilerplate
